Number,Title,Date,SPZI,Last event,Date of last event,Пакет документов при внесении,Форма законопроекта,Заключение Правительства РФ на законопроект,Комитеты-соисполнители,Предмет ведения,Тематический блок законопроектов,Собрание законодательства Российской Федерации,Номер постановления Государственной Думы,Срок представления поправок,Принадлежность к календарю,Отрасль законодательства,Причины первоочередного рассмотрения,Дата извещения о направлении в Совет ГД,Номер постановления Совета Федерации,События по законопроекту,Принадлежность законопроекта к примерной программе (первоочередные),Альтернативные законопроекты,"Законопроекты, входящие в один пакет с данным",Номер федерального закона,Принадлежность законопроекта к примерной программе,Ответственный комитет,Профильный комитет,Срок действия Заключения Правового Управления,Срок представления отзывов,Рассмотрение в Совете законодателей,Собрание законодательства Российской Федерации,Приоритеты фракций на сессию,,Link to document
21,"877268-8 О внесении изменений в Федеральный закон ""О привлечении инвестиций с использованием инвестиционных платформ и о внесении изменений в отдельные законодательные акты Российской Федерации""",28.03.2025,"Депутаты ГД А.Г.Аксаков, О.В.Савченко, В.Б.Сенин, В.С.Макаров, И.Н.Бабич, А.А.Гетта; Сенаторы РФ Н.А.Журавлев, М.М.Ульбашев, А.А.Салпагаров, М.Г.Сидухина, В.М.Джабаров",1.2 Прохождение законопроекта у Председателя Государственной Думы (внесение) направлен в комитет(ы) Государственной Думы: Комитет Государственной Думы по финансовому рынку,31.03.2025,Пакет документов при внесении,Федеральный закон,,,,,,,,,,,,,,,,,,,,Комитет Государственной Думы по финансовому рынку,Отсутствует,,,,,,/download/1f00bb01-ad77-6040-9e5c-1121dbe96378
22,"877249-8 О внесении изменений в Федеральный закон ""О банках и банковской деятельности"" (в части регулирования деятельности небанковских кредитных организаций, а также расширения перечня доступных банкам с базовой лицензией ценных бумаг)",28.03.2025,"Депутаты ГД А.Г.Аксаков, О.В.Савченко, В.Б.Сенин, В.С.Макаров, И.Н.Бабич, А.А.Гетта; Сенаторы РФ М.М.Ульбашев, Е.В.Дягилева",2.1 Принятие профильным комитетом решения о представлении законопроекта в Совет Государственной Думы (предварительное рассмотрение) предложить принять законопроект к рассмотрению,03.04.2025,Пакет документов при внесении,Федеральный закон,не требуется,,Ведение РФ,"Бюджетное, налоговое, финансовое законодательство",,,,,,,03.04.2025,,,,,,,,,Комитет Государственной Думы по финансовому рынку,Отсутствует,,,,,,/download/1f00bae6-c23a-6d08-bea5-97d6d881aca0
23,"876963-8 О внесении изменений в Федеральный закон ""О противодействии легализации (отмыванию) доходов, полученных преступным путем, и финансированию терроризма"" и Федеральный закон ""О специальных экономических мерах и принудительных мерах"" (в части совершенствования системы противодействия терроризму и применения специальных экономических мер)",27.03.2025,Правительство Российской Федерации,2.1 Принятие профильным комитетом решения о представлении законопроекта в Совет Государственной Думы (предварительное рассмотрение) предложить принять законопроект к рассмотрению,03.04.2025,Пакет документов при внесении,Федеральный закон,не требуется,,Ведение РФ,"Бюджетное, налоговое, финансовое законодательство",,,,,080.000.000 Финансы,,03.04.2025,,,,,,,,,Комитет Государственной Думы по финансовому рынку,Отсутствует,,,,,,/download/1f00b374-4c5b-65f2-a830-1d2989f3595d
24,"876952-8 О внесении изменений в Федеральный закон ""Об обществах с ограниченной ответственностью"" (о порядке выплаты действительной стоимости доли участника общества)",27.03.2025,Правительство Российской Федерации,2.1 Принятие профильным комитетом решения о представлении законопроекта в Совет Государственной Думы (предварительное рассмотрение) предложить принять законопроект к рассмотрению,02.04.2025,Пакет документов при внесении,Федеральный закон,не требуется,,Ведение РФ,Экономическая политика,,,,,030.000.000 Гражданское право,,03.04.2025,,,,,,,,,"Комитет Государственной Думы по вопросам собственности, земельным и имущественным отношениям",Отсутствует,,,,,,/download/1f00b34e-2ccb-6e42-834a-2d829f8838a3
25,876678-8 О внесении изменений в отдельные законодательные акты Российской Федерации,27.03.2025,Правительство Российской Федерации,1.2 Прохождение законопроекта у Председателя Государственной Думы (внесение) направлен в комитет(ы) Государственной Думы: Комитет Государственной Думы по государственному строительству и законодательству,31.03.2025,Пакет документов при внесении,Федеральный закон,,,,,,,,,,,,,,,,,,,,Комитет Государственной Думы по государственному строительству и законодательству,Отсутствует,,,,,,/download/1f00b191-5a46-64a8-9fda-1ff7fa119497
26,"876543-8 О внесении изменения в статью 12 Федерального закона ""О Центральном банке Российской Федерации (Банке России)"" в части изменения порядка формирования состава Национального финансового совета и усиления парламентского контроля деятельности финансового регулятора",27.03.2025,"Депутаты ГД С.М.Миронов, О.А.Нилов, Я.В.Лантратова, Н.В.Новичков, Показать еще 4 М.Г.Делягин, А.А.Кузнецов, А.А.Ремезков, Д.Г.Гусев Скрыть",1.2 Прохождение законопроекта у Председателя Государственной Думы (внесение) направлен в комитет(ы) Государственной Думы: Комитет Государственной Думы по финансовому рынку,31.03.2025,Пакет документов при внесении,Федеральный закон,,,,,,,,,,,,,,,,,,,,Комитет Государственной Думы по финансовому рынку,Отсутствует,,,,,,/download/1f00b09b-849e-65a8-ad2e-f75d8510aacf
27,876025-8 О ратификации Договора о всеобъемлющем стратегическом партнерстве между Российской Федерацией и Исламской Республикой Иран,27.03.2025,Президент Российской Федерации,3.1 Принятие ответственным комитетом решения о представлении законопроекта в Совет Государственной Думы (первое чтение) предложить принять закон,02.04.2025,Пакет документов при внесении,Федеральный закон,требуется,Комитет Государственной Думы по обороне,Ведение РФ,Ратификация международных договоров Российской Федерации,,,,,200.000.000 Международные отношения. Международное право,,02.04.2025,,Рассмотрен Советом Государственной Думы 31.03.25,Апрель 2025 года,,,,Апрель 2025 года,Комитет Государственной Думы по международным делам,Комитет Государственной Думы по международным делам,Действует до 01.10.2025,"01.04.2025, до 18 часов",,,,,/download/1f00ad96-222a-6a00-ad6e-950a6cfcc892
28,"875792-8 О внесении изменений в статью 215-1 Бюджетного кодекса Российской Федерации и статьи 14 и 15 Федерального закона ""О внесении изменений в отдельные законодательные акты Российской Федерации, приостановлении действия отдельных положений законодательных актов Российской Федерации, признании утратившими силу отдельных положений законодательных актов Российской Федерации и об установлении особенностей исполнения бюджетов бюджетной системы Российской Федерации в 2025 году"" (об особенностях исполнения бюджетов бюджетной системы в 2025 году и совершенствовании бюджетного законодательства)",26.03.2025,Правительство Российской Федерации,3.3 Рассмотрение законопроекта Государственной Думой (первое чтение) включить законопроект в проект порядка работы Государственной Думы для рассмотрения во втором чтении: 08.04.2025,02.04.2025,Пакет документов при внесении,Федеральный закон,не требуется,,Ведение РФ,"Бюджетное, налоговое, финансовое законодательство",,,04.04.2025 23:59,,080.000.000 Финансы,,01.04.2025,,Принят в 1 чтении 02.04.25,Апрель 2025 года,,,,Апрель 2025 года,Комитет Государственной Думы по бюджету и налогам,Комитет Государственной Думы по бюджету и налогам,Действует до 01.10.2025,"31.03.2025, до 18 часов",,,,,/download/1f00a652-7f4d-621e-b4ca-a1016dfee0c3
29,"875729-8 О внесении изменений в статью 10 Федерального закона ""О дополнительных гарантиях по социальной поддержке детей-сирот и детей, оставшихся без попечения родителей"" и статью 20 Федерального закона ""О бесплатной юридической помощи в Российской Федерации""",26.03.2025,Законодательное Собрание Красноярского края,"1.2 Прохождение законопроекта у Председателя Государственной Думы (внесение) направлен в комитет(ы) Государственной Думы: Комитет Государственной Думы по защите семьи, вопросам отцовства, материнства и детства",27.03.2025,Пакет документов при внесении,Федеральный закон,,,,,,,,,,,,,,,,,,,,"Комитет Государственной Думы по защите семьи, вопросам отцовства, материнства и детства",Отсутствует,,,,,,/download/1f00a5af-5132-6f9e-84b2-456d3877f978
30,"875499-8 О поэтапном погашении обязательств по ипотечным жилищным кредитам (займам) в отношении семей, имеющих детей",26.03.2025,"Депутаты ГД С.М.Миронов, О.А.Нилов, Я.В.Лантратова, Н.В.Новичков, Показать еще 7 М.Г.Делягин, А.А.Кузнецов, А.А.Ремезков, А.В.Терентьев, А.С.Аксененко, Ф.С.Тумусов, Д.Г.Гусев Скрыть",1.2 Прохождение законопроекта у Председателя Государственной Думы (внесение) направлен в комитет(ы) Государственной Думы: Комитет Государственной Думы по финансовому рынку,27.03.2025,Пакет документов при внесении,Федеральный закон,,,,,,,,,,,,,,,,,,,,Комитет Государственной Думы по финансовому рынку,Отсутствует,,,,,,/download/1f00a468-f9c6-6158-92db-63ecb9104e46
31,875355-8 О внесении изменений в Кодекс Российской Федерации об административных правонарушениях,26.03.2025,"Депутаты ГД И.Н.Игошин, И.А.Филатова, А.А.Гетта, А.Р.Метшин, А.Б.Выборный, М.В.Кизеев",1.2 Прохождение законопроекта у Председателя Государственной Думы (внесение) направлен в комитет(ы) Государственной Думы: Комитет Государственной Думы по государственному строительству и законодательству,27.03.2025,Пакет документов при внесении,Федеральный закон,,,,,,,,,,,,,,,,,,,,Комитет Государственной Думы по государственному строительству и законодательству,Отсутствует,,,,,,/download/1f00a354-0dc9-69ea-892c-2dd7f4b3cea4
32,875232-8 О внесении изменения в статью 261 Трудового кодекса Российской Федерации,26.03.2025,"Депутаты ГД Н.А.Останина, Я.Е.Нилов","1.2 Прохождение законопроекта у Председателя Государственной Думы (внесение) направлен в комитет(ы) Государственной Думы: Комитет Государственной Думы по труду, социальной политике и делам ветеранов",27.03.2025,Пакет документов при внесении,Федеральный закон,,,,,,,,,,,,,,,,,,,,"Комитет Государственной Думы по труду, социальной политике и делам ветеранов",Отсутствует,,,,,,/download/1f00a223-dc4d-6550-8c59-31715b639dbb
33,"874389-8 О внесении изменений в Федеральный закон ""Об основах охраны здоровья граждан в Российской Федерации"" в части установления предельного уровня допустимых расходов гражданина на оплату жизненно необходимых и важнейших лекарственных средств",25.03.2025,"Депутаты ГД С.М.Миронов, О.А.Нилов, С.В.Кабышев, Я.В.Лантратова, Показать еще 6 Н.В.Новичков, М.Г.Делягин, А.А.Кузнецов, Ф.С.Тумусов, А.В.Терентьев, Д.Г.Гусев Скрыть",1.2 Прохождение законопроекта у Председателя Государственной Думы (внесение) направлен в комитет(ы) Государственной Думы: Комитет Государственной Думы по охране здоровья,26.03.2025,Пакет документов при внесении,Федеральный закон,,,,,,,,,,,,,,,,,,,,Комитет Государственной Думы по охране здоровья,Отсутствует,,,,,,/download/1f0097e8-9615-6190-8c97-51cb42b16bf0
